# Synthetic unbounded LP baselines (generated by scripts/gen_unbounded_lp.py).
# Data dir: data/lp_problems_unbounded/
# These are NOT official Netlib LP instances. Separated from netlib_lp.csv.
# Purpose: regression detection for LP unbounded detection.
problem_name,optimal_obj,source
UNBD_LP_EQ_FREE_N5,UNBOUNDED,synthetic
UNBD_LP_FREE1D,UNBOUNDED,synthetic
UNBD_LP_FREE2D,UNBOUNDED,synthetic
UNBD_LP_INEQ_N3,UNBOUNDED,synthetic
UNBD_LP_LOOSE_N2,UNBOUNDED,synthetic
UNBD_LP_MEDIUM_N10,UNBOUNDED,synthetic
UNBD_LP_MEDIUM_N15,UNBOUNDED,synthetic
UNBD_LP_MULTIFREE_N8,UNBOUNDED,synthetic
UNBD_LP_NEGLB_N5,UNBOUNDED,synthetic
UNBD_LP_NOCON_N20,UNBOUNDED,synthetic
UNBD_LP_RAY_N4,UNBOUNDED,synthetic
UNBD_LP_SPARSE_N12,UNBOUNDED,synthetic
