# 出典: 自ソルバーの計測値（ベンチマーク実行結果）。外部参照の最適値ではない。
# 用途: 退行検知（過去の自己ベストとの比較）。
# Source: measured by this solver's benchmark runs. NOT externally verified optimal values.
# Purpose: regression detection (comparison against own historical best).
problem_name,optimal_obj,source
AUG2D,1.67e6,bench_722f_ippmm_1000s
AUG2DC,1.80e6,bench_722f_ippmm_1000s
AUG2DCQP,6.48e6,bench_722f_ippmm_1000s
AUG2DQP,6.22e6,bench_722f_ippmm_1000s
AUG3D,-2.12e3,bench_722f_ippmm_1000s
AUG3DC,-3.10e3,bench_722f_ippmm_1000s
AUG3DCQP,-2.88e3,bench_722f_ippmm_1000s
AUG3DQP,-2.00e3,bench_722f_ippmm_1000s
BOYD1,-6.17e7,bench_722f_ippmm_1000s
BOYD2,2.13e1,bench_722f_ippmm_1000s
CONT-050,-4.56e0,bench_722f_ippmm_1000s
CONT-100,-4.64e0,bench_722f_ippmm_1000s
CONT-101,1.96e-1,bench_722f_ippmm_1000s
CONT-200,-4.68e0,bench_722f_ippmm_1000s
CONT-201,1.92e-1,bench_722f_ippmm_1000s
CONT-300,1.88e-1,bench_722f_ippmm_1000s
CVXQP1_L,1.09e8,bench_722f_ippmm_1000s
CVXQP1_M,1.09e6,bench_722f_ippmm_1000s
CVXQP1_S,1.16e4,bench_722f_ippmm_1000s
CVXQP2_L,8.18e7,bench_722f_ippmm_1000s
CVXQP2_M,8.20e5,bench_722f_ippmm_1000s
CVXQP2_S,8.12e3,bench_722f_ippmm_1000s
CVXQP3_L,1.16e8,bench_722f_ippmm_1000s
CVXQP3_M,1.36e6,bench_722f_ippmm_1000s
CVXQP3_S,1.19e4,bench_722f_ippmm_1000s
DTOC3,2.35e2,bench_722f_ippmm_1000s
DUAL1,3.50e-2,bench_722f_ippmm_1000s
DUAL2,3.37e-2,bench_722f_ippmm_1000s
DUAL3,1.36e-1,bench_722f_ippmm_1000s
DUAL4,7.46e-1,bench_722f_ippmm_1000s
DUALC1,6.16e3,bench_722f_ippmm_1000s
DUALC2,3.55e3,bench_722f_ippmm_1000s
DUALC5,4.27e2,bench_722f_ippmm_1000s
DUALC8,1.83e4,bench_722f_ippmm_1000s
EXDATA,-1.42e2,bench_722f_ippmm_1000s
GENHS28,9.27e-1,bench_722f_ippmm_1000s
GOULDQP2,1.85e-4,bench_722f_ippmm_1000s
GOULDQP3,-5.93e4,bench_722f_ippmm_1000s
HS118,6.65e2,bench_722f_ippmm_1000s
HS21,1.00e2,bench_722f_ippmm_1000s
HS268,-2.89e4,bench_722f_ippmm_1000s
HS35,-1.79e1,bench_722f_ippmm_1000s
HS35MOD,-1.77e1,bench_722f_ippmm_1000s
HS51,-1.20e1,bench_722f_ippmm_1000s
HS52,-6.67e0,bench_722f_ippmm_1000s
HS53,-7.91e0,bench_722f_ippmm_1000s
HS76,-4.68e0,bench_722f_ippmm_1000s
HUES-MOD,3.48e7,bench_722f_ippmm_1000s
HUESTIS,3.48e11,bench_722f_ippmm_1000s
KSIP,5.76e-1,bench_722f_ippmm_1000s
LASER,2.41e6,bench_722f_ippmm_1000s
LISWET1,-5.03e3,bench_722f_ippmm_1000s
LISWET10,-5.03e3,bench_722f_ippmm_1000s
LISWET11,-5.03e3,bench_722f_ippmm_1000s
LISWET12,-5.03e3,bench_722f_ippmm_1000s
LISWET2,-3.36e3,bench_722f_ippmm_1000s
LISWET3,-2.03e3,bench_722f_ippmm_1000s
LISWET4,-1.45e3,bench_722f_ippmm_1000s
LISWET5,-3.20e4,bench_722f_ippmm_1000s
LISWET6,-4.35e3,bench_722f_ippmm_1000s
LISWET7,-5.03e3,bench_722f_ippmm_1000s
LISWET8,-5.03e3,bench_722f_ippmm_1000s
LISWET9,-5.03e3,bench_722f_ippmm_1000s
LOTSCHD,2.40e3,bench_722f_ippmm_1000s
MOSARQP1,-9.53e2,bench_722f_ippmm_1000s
MOSARQP2,-1.60e3,bench_722f_ippmm_1000s
POWELL20,5.21e10,bench_722f_ippmm_1000s
PRIMAL1,-3.50e-2,bench_722f_ippmm_1000s
PRIMAL2,-3.37e-2,bench_722f_ippmm_1000s
PRIMAL3,-1.36e-1,bench_722f_ippmm_1000s
PRIMAL4,-7.46e-1,bench_722f_ippmm_1000s
PRIMALC1,-6.16e3,bench_722f_ippmm_1000s
PRIMALC2,-3.55e3,bench_722f_ippmm_1000s
PRIMALC5,-4.27e2,bench_722f_ippmm_1000s
PRIMALC8,-1.83e4,bench_722f_ippmm_1000s
Q25FV47,1.37e7,bench_722f_ippmm_1000s
QADLITTL,4.80e5,bench_722f_ippmm_1000s
QAFIRO,-1.59e0,bench_722f_ippmm_1000s
QBANDM,1.64e4,bench_722f_ippmm_1000s
QBEACONF,1.65e5,bench_722f_ippmm_1000s
QBORE3D,3.10e3,bench_722f_ippmm_1000s
QBRANDY,2.84e4,bench_722f_ippmm_1000s
QCAPRI,6.68e7,bench_722f_ippmm_1000s
QE226,1.98e2,bench_722f_ippmm_1000s
QETAMACR,8.68e4,bench_722f_ippmm_1000s
QFFFFF80,8.73e5,bench_722f_ippmm_1000s
QGROW15,-1.02e8,bench_722f_ippmm_1000s
QGROW22,-1.50e8,bench_722f_ippmm_1000s
QGROW7,-4.28e7,bench_722f_ippmm_1000s
QISRAEL,2.53e7,bench_722f_ippmm_1000s
QPCBLEND,-7.84e-3,bench_722f_ippmm_1000s
QPCBOEI1,1.15e7,bench_722f_ippmm_1000s
QPCSTAIR,6.20e6,bench_722f_ippmm_1000s
QPTEST,4.37e0,bench_722f_ippmm_1000s
QRECIPE,-2.67e2,bench_722f_ippmm_1000s
QSC205,-5.81e-3,bench_722f_ippmm_1000s
QSCAGR25,2.02e8,bench_722f_ippmm_1000s
QSCAGR7,2.69e7,bench_722f_ippmm_1000s
QSCFXM1,1.69e7,bench_722f_ippmm_1000s
QSCFXM2,2.78e7,bench_722f_ippmm_1000s
QSCFXM3,3.08e7,bench_722f_ippmm_1000s
QSCORPIO,1.88e3,bench_722f_ippmm_1000s
QSCRS8,9.05e2,bench_722f_ippmm_1000s
QSCSD1,8.67e0,bench_722f_ippmm_1000s
QSCSD6,5.08e1,bench_722f_ippmm_1000s
QSCSD8,9.41e2,bench_722f_ippmm_1000s
QSCTAP1,1.42e3,bench_722f_ippmm_1000s
QSCTAP2,1.74e3,bench_722f_ippmm_1000s
QSCTAP3,1.44e3,bench_722f_ippmm_1000s
QSEBA,8.15e7,bench_722f_ippmm_1000s
QSHARE1B,7.20e5,bench_722f_ippmm_1000s
QSHARE2B,1.17e4,bench_722f_ippmm_1000s
QSHIP04L,2.42e6,bench_722f_ippmm_1000s
QSHIP04S,2.42e6,bench_722f_ippmm_1000s
QSHIP08L,2.38e6,bench_722f_ippmm_1000s
QSHIP08S,2.39e6,bench_722f_ippmm_1000s
QSHIP12L,3.02e6,bench_722f_ippmm_1000s
QSHIP12S,3.06e6,bench_722f_ippmm_1000s
QSIERRA,2.38e7,bench_722f_ippmm_1000s
QSTAIR,7.99e6,bench_722f_ippmm_1000s
QSTANDAT,6.41e3,bench_722f_ippmm_1000s
S268,-2.89e4,bench_722f_ippmm_1000s
STADAT1,-2.85e7,bench_722f_ippmm_1000s
STADAT2,-3.26e1,bench_722f_ippmm_1000s
STADAT3,-3.58e1,bench_722f_ippmm_1000s
STCQP1,1.55e5,bench_722f_ippmm_1000s
STCQP2,2.23e4,bench_722f_ippmm_1000s
TAME,0.00e0,bench_722f_ippmm_1000s
UBH1,2.07e0,bench_722f_ippmm_1000s
ZECEVIC2,-4.12e0,bench_722f_ippmm_1000s
QSHELL,1.57e12,bench_740_concurrent_60s
