# 出典: 自ソルバーの計測値（ベンチマーク実行結果）。外部参照の最適値ではない。
# 用途: 退行検知（過去の自己ベストとの比較）。
# Source: measured by this solver's benchmark runs. NOT externally verified optimal values.
# Purpose: regression detection (comparison against own historical best).
problem_name,optimal_obj,source
LIPMWALK0,-2.340000e+00,bench_2026-05-06_mpc_300s
LIPMWALK1,-3.730000e+00,bench_2026-05-06_mpc_300s
LIPMWALK10,-1.070000e+00,bench_2026-05-06_mpc_300s
LIPMWALK11,-1.000000e-01,bench_2026-05-06_mpc_300s
LIPMWALK12,-2.700000e-01,bench_2026-05-06_mpc_300s
LIPMWALK13,-4.570000e-01,bench_2026-05-06_mpc_300s
LIPMWALK14,-6.540000e-01,bench_2026-05-06_mpc_300s
LIPMWALK15,-8.500000e-01,bench_2026-05-06_mpc_300s
LIPMWALK16,-9.940000e-01,bench_2026-05-06_mpc_300s
LIPMWALK17,-1.020000e+00,bench_2026-05-06_mpc_300s
LIPMWALK18,-8.780000e-01,bench_2026-05-06_mpc_300s
LIPMWALK19,-6.230000e-02,bench_2026-05-06_mpc_300s
LIPMWALK2,-2.540000e+00,bench_2026-05-06_mpc_300s
LIPMWALK20,-3.300000e-01,bench_2026-05-06_mpc_300s
LIPMWALK21,-5.080000e-01,bench_2026-05-06_mpc_300s
LIPMWALK22,-6.930000e-01,bench_2026-05-06_mpc_300s
LIPMWALK23,-8.780000e-01,bench_2026-05-06_mpc_300s
LIPMWALK24,-1.010000e+00,bench_2026-05-06_mpc_300s
LIPMWALK25,-1.040000e+00,bench_2026-05-06_mpc_300s
LIPMWALK26,-8.930000e-01,bench_2026-05-06_mpc_300s
LIPMWALK27,-6.480000e-02,bench_2026-05-06_mpc_300s
LIPMWALK28,-3.250000e-01,bench_2026-05-06_mpc_300s
LIPMWALK29,-5.050000e-01,bench_2026-05-06_mpc_300s
LIPMWALK3,-4.590000e-01,bench_2026-05-06_mpc_300s
LIPMWALK4,-4.370000e-01,bench_2026-05-06_mpc_300s
LIPMWALK5,-2.910000e-01,bench_2026-05-06_mpc_300s
LIPMWALK6,-2.850000e-01,bench_2026-05-06_mpc_300s
LIPMWALK7,-3.940000e-01,bench_2026-05-06_mpc_300s
LIPMWALK8,-5.990000e-01,bench_2026-05-06_mpc_300s
LIPMWALK9,-8.580000e-01,bench_2026-05-06_mpc_300s
QUADCMPC1,3.520000e-03,bench_2026-05-06_mpc_300s
QUADCMPC2,4.090000e-03,bench_2026-05-06_mpc_300s
QUADCMPC3,2.760000e-07,bench_2026-05-06_mpc_300s
QUADCMPC4,5.370000e-10,bench_2026-05-06_mpc_300s
WHLIPBAL0,-4.570000e+01,bench_2026-05-06_mpc_300s
WHLIPBAL1,-1.070000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL10,-1.220000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL11,-1.110000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL12,-1.010000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL13,-9.090000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL14,-8.190000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL15,-7.360000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL16,-6.590000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL17,-5.880000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL18,-5.230000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL19,-4.640000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL2,-4.450000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL20,-4.110000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL21,-3.620000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL22,-3.180000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL23,-2.790000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL24,-2.430000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL25,-2.120000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL26,-1.830000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL27,-1.580000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL28,-1.360000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL29,-1.160000e+03,bench_2026-05-06_mpc_300s
WHLIPBAL3,-1.080000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL4,-1.650000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL5,-1.750000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL6,-1.690000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL7,-1.580000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL8,-1.460000e+04,bench_2026-05-06_mpc_300s
WHLIPBAL9,-1.330000e+04,bench_2026-05-06_mpc_300s
