# 出典: 自ソルバーの計測値（ベンチマーク実行結果）。外部参照の最適値ではない。
# 用途: 退行検知（過去の自己ベストとの比較）。
# Source: measured by this solver's benchmark runs. NOT externally verified optimal values.
# Purpose: regression detection (comparison against own historical best).
problem_name,optimal_obj,source
OSQP_CONTROL_10,1.010000e+00,bench_2026-05-06_osqp_full_600s
OSQP_CONTROL_20,5.130000e+00,bench_2026-05-06_osqp_full_600s
OSQP_CONTROL_50,9.830000e+00,bench_2026-05-06_osqp_full_600s
OSQP_EQ_QP_100,1.740000e+02,bench_2026-05-06_osqp_full_600s
OSQP_EQ_QP_20,-1.090000e+02,bench_2026-05-30_osqp_2case
OSQP_EQ_QP_200,6.210000e+02,bench_2026-05-06_osqp_full_600s
OSQP_EQ_QP_50,4.220000e+01,bench_2026-05-06_osqp_full_600s
OSQP_EQ_QP_500,3.980000e+03,bench_2026-05-06_osqp_full_600s
OSQP_HUBER_10,2.870000e+02,bench_2026-05-06_osqp_full_600s
OSQP_HUBER_100,3.420000e+03,bench_2026-05-06_osqp_full_600s
OSQP_HUBER_20,6.780000e+02,bench_2026-05-06_osqp_full_600s
OSQP_HUBER_50,1.670000e+03,bench_2026-05-06_osqp_full_600s
OSQP_LASSO_10,1.030000e+03,bench_2026-05-06_osqp_full_600s
OSQP_LASSO_100,1.010000e+04,bench_2026-05-06_osqp_full_600s
OSQP_LASSO_20,2.060000e+03,bench_2026-05-06_osqp_full_600s
OSQP_LASSO_50,5.110000e+03,bench_2026-05-06_osqp_full_600s
OSQP_PORTFOLIO_10,-2.490000e+00,bench_2026-05-06_osqp_full_600s
OSQP_PORTFOLIO_100,-2.630000e+00,bench_2026-05-30_osqp_2case
OSQP_PORTFOLIO_20,-2.470000e+00,bench_2026-05-06_osqp_full_600s
OSQP_PORTFOLIO_5,-2.260000e+00,bench_2026-05-06_osqp_full_600s
OSQP_PORTFOLIO_50,-2.580000e+00,bench_2026-05-06_osqp_full_600s
OSQP_RANDOM_QP_100,9.350000e+02,bench_2026-05-06_osqp_full_600s
OSQP_RANDOM_QP_20,1.140000e+01,bench_2026-05-06_osqp_full_600s
OSQP_RANDOM_QP_200,3.230000e+03,bench_2026-05-06_osqp_full_600s
OSQP_RANDOM_QP_50,2.550000e+02,bench_2026-05-06_osqp_full_600s
OSQP_RANDOM_QP_500,1.720000e+04,bench_2026-05-06_osqp_full_600s
OSQP_SVM_10,4.080000e+02,bench_2026-05-06_osqp_full_600s
OSQP_SVM_100,4.060000e+03,bench_2026-05-06_osqp_full_600s
OSQP_SVM_20,8.130000e+02,bench_2026-05-06_osqp_full_600s
OSQP_SVM_50,2.010000e+03,bench_2026-05-06_osqp_full_600s
