problem_name,optimal_obj,source
INFEAS_QP_BOUND_N1,INFEASIBLE,synthetic
INFEAS_QP_BOUND_N3,INFEASIBLE,synthetic
INFEAS_QP_CYCLE_N6,INFEASIBLE,synthetic
INFEAS_QP_EQ_N2,INFEASIBLE,synthetic
INFEAS_QP_EQ_RANGE_N4,INFEASIBLE,synthetic
INFEAS_QP_INEQ_N3,INFEASIBLE,synthetic
INFEAS_QP_LARGE_N100,INFEASIBLE,synthetic
INFEAS_QP_LARGE_N200,INFEASIBLE,synthetic
INFEAS_QP_LARGE_N500,INFEASIBLE,synthetic
INFEAS_QP_MIXED_N5,INFEASIBLE,synthetic
INFEAS_QP_OVER_N8,INFEASIBLE,synthetic
INFEAS_QP_VARBOUND_N4,INFEASIBLE,synthetic
